token	age
一大早	moe
一大會兒	moe
一大溜	moe
一大郎當	moe
一天	moe
一天一個現在	moe
一天到晚	moe
一天星斗	moe
一天火	moe
一夫	moe
一夫一妻制	moe
一夫多妻制	moe
一夫當關，萬夫莫敵	moe
一夫當關，萬夫莫開	moe
一失足成千古恨	moe
一套	moe
一女不喫兩家茶	moe
一如	moe
一如既往	moe
一妻多夫制	moe
一姓	moe
一子兒	moe
一子出家，七祖昇天	moe
一子繼承制	moe
一孔之見	moe
一孔出氣	moe
一字一板	moe
一字一淚	moe
一字一珠	moe
一字不差	moe
一字不忘	moe
一字不提	moe
一字不苟	moe
一字不識	moe
一字之師	moe
一字值千金	moe
一字兒	moe
一字入公門，九牛拔不出	moe
一字千金	moe
一字半句	moe
一字師	moe
一字王	moe
一字眉	moe
一字肩背心	moe
一字褒貶	moe
一字襟坎肩兒	moe
一字長蛇陣	moe
一字髯	moe
一宅分兩院	moe
一官半職	moe
一定	moe
一定不易	moe
一定不移	moe
一客不煩二主	moe
一客不犯二主	moe
一家	moe
一家一個主，一廟一個神	moe
一家一計	moe
一家之主	moe
一家之學	moe
一家之言	moe
一家之說	moe
一家之論	moe
一家人	moe
一家大小	moe
一家子	moe
一家眷屬	moe
一家老小	moe
一家言	moe
一宿	moe
一寒如此	moe
一寸丹心	moe
一寸光陰一寸金	moe
一寸秋波	moe
一寸赤心	moe
一射	moe
一將守關，萬夫莫開	moe
一對	moe
一小撮	moe
一就	moe
一就手兒	moe
一尺布，尚可縫	moe
一尺水，十丈波	moe
一尺水，百丈波	moe
一尺還他十寸	moe
一屁股	moe
一展身手	moe
一展長才	moe
一層	moe
一層天	moe
一層窗戶紙捅破	moe
一山不容二虎	moe
一工兒	moe
一差二誤	moe
一差二錯	moe
一差半錯	moe
一己	moe
一己之私	moe
一己之見	moe
一巴掌	moe
一帆風順	moe
一席之地	moe
一席地	moe
一席話	moe
一帶	moe
一幕	moe
一幫	moe
一干	moe
一年之計在於春	moe
一年到頭	moe
一年半載	moe
一年四季	moe
一年大，二年小	moe
一年生作物	moe
一年生植物	moe
一年被蛇咬，三年怕草索	moe
一床一臥	moe
一床三放	moe
一床兩好	moe
一床錦被蓋過	moe
一床錦被遮蓋	moe
一度	moe
一度著蛇咬，怕見斷井索	moe
一座	moe
一座皆驚	moe
一廂情願	moe
一廉如水	moe
一廛	moe
一弄兒	moe
一弓	moe
一弔	moe
一弛一張	moe
一弦琴	moe
一張一弛	moe
一彆頭	moe
一彈指	moe
一彎	moe
一彪	moe
一往情深	moe
一往無前	moe
一往直前	moe
一律	moe
一徑	moe
一得	moe
一得之功	moe
一得之愚	moe
一得之見	moe
一從	moe
一德	moe
一德一心	moe
一心	moe
一心一德	moe
一心一意	moe
一心一計	moe
一心三觀	moe
一心二用	moe
一心挂兩頭	moe
一心無二	moe
一心無罣礙	moe
一念	moe
一念三千	moe
一念之差	moe
一念之錯	moe
一念之間	moe
一念堅貞	moe
一忽	moe
一忽兒	moe
一怔	moe
一性	moe
一息	moe
一息奄奄	moe
一息尚存	moe
一想紅，二想黑	moe
一意孤行	moe
一愣	moe
一應	moe
一應俱全	moe
一成	moe
一成一旅	moe
一成不易	moe
一成不變	moe
一戰而霸	moe
一房	moe
一房一臥	moe
一手	moe
一手一足	moe
一手交錢，一手交貨	moe
一手兒	moe
一手包攬	moe
一手包辦	moe
一手托兩家	moe
一手承運	moe
一手提拔	moe
一手遮天	moe
一手難掩天下人耳目	moe
一扎腳	moe
一打三分低	moe
一托氣	moe
一托頭	moe
一扠	moe
一批	moe
一技之長	moe
一技在身	moe
一把	moe
一把子	moe
一把屎，一把尿	moe
一把手	moe
一把抓	moe
一把死拿兒	moe
一把罩	moe
一把鼻涕，一包眼淚	moe
一抔土	moe
一投	moe
一折	moe
一折一磨	moe
一折八扣	moe
一抹	moe
一抿子	moe
一拋	moe
一拍即合	moe
一拐一拐	moe
一拳	moe
一拳柱定	moe
一捧雪	moe
一捻	moe
一捻紅	moe
一掃	moe
一掃而光	moe
一掃而空	moe
一探究竟	moe
一揆	moe
一揮而就	moe
一揮而成	moe
一搖一擺	moe
一搖三擺	moe
一搖三晃	moe
一搭	moe
一搭一唱	moe
一搭兩用	moe
一撇	moe
一撥	moe
一擁而上	moe
一擁而進	moe
一操	moe
一擲千金	moe
一擲百萬	moe
一攪果	moe
一攬包收	moe
一攬子	moe
一敗塗地	moe
一整天	moe
一文	moe
一文不值	moe
一文不名	moe
一文如命	moe
一文錢逼死英雄漢	moe
一斑	moe
一斗米養個恩人，一石米養個仇人	moe
一斛涼州	moe
一新耳目	moe
一方	moe
一方面	moe
一旁	moe
一日	moe
一日三秋	moe
一日不見，如隔三秋	moe
一日之計在於晨	moe
一日之長	moe
一日之雅	moe
一日兩，兩日三	moe
一日千里	moe
一日叫娘，終身是母	moe
一日夫妻百日恩	moe
一日家	moe
一日為師，終身為父	moe
一日萬機	moe
一旦	moe
一旦無常萬事休	moe
一早	moe
一早起	moe
一早起了	moe
一星兒	moe
一星半點兒	moe
一星子	moe
一星星	moe
一昧	moe
一昨	moe
一是一，二是二	moe
一時	moe
一時一刻	moe
一時不等一時	moe
一時之急	moe
一時之秀	moe
一時之選	moe
一時之間	moe
一時半刻	moe
一時半霎	moe
一時糊塗	moe
一時間	moe
一晃	moe
一晃眼	moe
一晌	moe
一景兒	moe
一暴十寒	moe
一曝十寒	moe
一曲	moe
一曲千金	moe
一曲陽關	moe
一替	moe
一替一句	moe
一會	moe
一會兒	moe
一會子	moe
一會家	moe
一月	moe
一望	moe
一望無垠	moe
一望無邊	moe
一望無際	moe
一望而知	moe
一朝	moe
一朝一夕	moe
一朝天子一朝臣	moe
一朝權在手，便把令來行	moe
一朝被蛇咬，三年怕井繩	moe
一朝被蛇咬，十年怕草繩	moe
一木難扶	moe
一木難支	moe
一本	moe
一本初衷	moe
一本正經	moe
一本萬利	moe
一朵花	moe
一朵鮮花插在牛糞上	moe
一板一眼	moe
一板三眼	moe
一枕黃粱	moe
一枝春	moe
一枝棲	moe
一枝獨秀	moe
一枝花	moe
一枝草，一點露	moe
一架子	moe
一柱擎天	moe
一根肚腸到底	moe
一條心	moe
一條提	moe
一條腸子	moe
一條腿兒	moe
一條藤兒	moe
一條跳板上走路	moe
一條道兒走到黑	moe
一條鞭	moe
一條龍	moe
一棍子打死	moe
一棍打一船	moe
一棒一條痕	moe
一概	moe
一概抹殺	moe
一概而言	moe
一概而論	moe
一模一樣	moe
一樣	moe
一樣米養百樣人	moe
一樹百穫	moe
一機靈	moe
一檔子	moe
一次全倒	moe
一次方程式	moe
一次能源	moe
一歇	moe
一步	moe
一步一個腳印兒	moe
一步一回頭	moe
一步一攧	moe
一步一趨	moe
一步一踱	moe
一步一鬼	moe
一步棋	moe
一步步	moe
一步登天	moe
一步錯，步步錯	moe
一歲三遷	moe
一歲九遷	moe
一死一生	moe
一死兒	moe
一段	moe
一毛	moe
一毛不拔	moe
一毛錢	moe
一氣	moe
一氣之下	moe
一氣兒	moe
一氣呵成	moe
一氧化物	moe
一氧化碳	moe
一氧化碳中毒	moe
一水兒	moe
一江山	moe
一汪	moe
一決勝負	moe
一決雌雄	moe
一決高下	moe
一沐三捉髮	moe
一沐三握髮，一飯三吐哺	moe
一沖性子	moe
一泓	moe
一泡	moe
一泡子	moe
一波	moe
一波三折	moe
一波未平，一波又起	moe
一派	moe
一派胡言	moe
一流	moe
一浪淌	moe
一混湯子	moe
一清二楚	moe
一清二白	moe
一清如水	moe
一清專案	moe
一湯	moe
一準	moe
一溜	moe
一溜兒	moe
一溜子	moe
一溜歪斜	moe
一溜煙	moe
一溜風	moe
一滅行	moe
一滴無存	moe
一漚	moe
一漿十餅	moe
一潭死水	moe
一瀉千里	moe
一灘	moe
一灣子	moe
一火	moe
一炬	moe
一炮而紅	moe
一炷香	moe
一無下落	moe
一無可取	moe
一無所好	moe
一無所得	moe
一無所成	moe
一無所有	moe
一無所求	moe
一無所獲	moe
一無所知	moe
一無所長	moe
一無是處	moe
一無長物	moe
一爭兩醜，一讓兩有	moe
一爭長短	moe
一片	moe
一片丹心	moe
一片冰心	moe
一片婆心	moe
一片宮商	moe
一片散沙	moe
一片汪洋	moe
一片痴心	moe
一片真心	moe
一片石	moe
一片聲	moe
一片至誠	moe
一片苦心	moe
一片赤心	moe
一牛吼地	moe
一物	moe
一物一主	moe
一物一制	moe
一物不知	moe
一物剋一物	moe
一物降一物	moe
一犬吠形，百犬吠聲	moe
一狐之腋	moe
一班	moe
一班一輩	moe
一班兒	moe
一班半點	moe
一琴一鶴	moe
一瓜一蒂	moe
一瓣心香	moe
一生	moe
一生一世	moe
一生受用不盡	moe
一生喫著不盡	moe
一甲子	moe
一男半女	moe
一畝三分地	moe
一畝之宮	moe
一番	moe
一番口舌	moe
一疊聲	moe
一病不起	moe
一瘸一拐	moe
一瘸一簸	moe
一登龍門	moe
一發	moe
一發不可收拾	moe
一百一	moe
一百二十行	moe
一百八十度	moe
一百分	moe
一百隻麻雀炒成一盤菜	moe
一盆漿糊	moe
一盆火兒	moe
一盞茶工夫	moe
一盞茶時	moe
一盤散沙	moe
一目	moe
一目了然	moe
一目十行	moe
一目瞭然	moe
一直	moe
一相情願	moe
一眨眼	moe
一眼	moe
一眼看破	moe
一眾	moe
一睹	moe
一瞑不視	moe
一瞥	moe
一瞬	moe
一瞬間	moe
一矢之地	moe
一知半解	moe
一石二鳥	moe
一石兩鳥	moe
一碗水往平處端	moe
一碧萬頃	moe
一碼子	moe
一磔手	moe
一祖三宗	moe
一神教	moe
一票	moe
一票難求	moe
一禾九穗	moe
一秉至公	moe
一秤不抵一秤	moe
一程	moe
一程子	moe
一稔	moe
一積	moe
一穗三秀	moe
一窩一塊	moe
一窩一拖	moe
一窩兒	moe
一窩子	moe
一窩絲	moe
一窩蜂	moe
一窩風	moe
一窮二白	moe
一窺堂奧	moe
一竅不通	moe
一竅通百竅通	moe
一竟	moe
一端	moe
一竹竿到底	moe
一竿子	moe
一竿子打翻一條船	moe
一竿子插到底	moe
一笏	moe
一笑千金	moe
一笑置之	moe
一筆	moe
一筆一畫	moe
一筆勾	moe
一筆勾斷	moe
一筆勾消	moe
一筆勾銷	moe
一筆抹倒	moe
一筆抹殺	moe
一筆抹煞	moe
一筆畫	moe
一等	moe
一等一	moe
一答	moe
一答一合	moe
一答一和兒	moe
一箭	moe
一箭上垛	moe
一箭之仇	moe
一箭之地	moe
一箭雙鵰	moe
一節	moe
一簍油	moe
一簞一瓢	moe
一簧兩舌	moe
一籌	moe
一籌莫展	moe
一粲	moe
一系列	moe
一紅二白	moe
一納頭	moe
一紙空文	moe
一級傳播	moe
一級謀殺罪	moe
一索得男	moe
一索成男	moe
一絕	moe
一統	moe
一統天下	moe
一統志	moe
一絲	moe
一絲一毫	moe
一絲不掛	moe
一絲不苟	moe
一絲兩氣	moe
一絲兩縷	moe
一絲半氣	moe
一絲半粟	moe
一絲半絲	moe
一絲沒兩氣	moe
一絲絲	moe
一經	moe
一經之訓	moe
一網成擒	moe
一網打盡	moe
一緊二慢三罷休	moe
一線	moe
一線天	moe
一線希望	moe
一線曙光	moe
一線生機	moe
一緣一會	moe
一縷	moe
一總	moe
一群	moe
一而二，二而一	moe
一而二，二而三	moe
一而再，再而三	moe
一聚枯骨	moe
一聲	moe
一聲不響	moe
一聲令下	moe
一聽	moe
一肚子	moe
一肚皮	moe
一股	moe
一股勁兒	moe
一股腦兒	moe
一肩兒	moe
一肩挑	moe
一胎化	moe
一胎生兩三個孩子	moe
一脈	moe
一脈相傳	moe
一脈相承	moe
一脈相通	moe
一脈相連	moe
一腔	moe
一腔火	moe
一腔熱血	moe
一腦門子	moe
一腳	moe
一腳地	moe
一腳指	moe
一腳高一腳低	moe
一臂之力	moe
一臘	moe
一至於此	moe
一致	moe
一致性	moe
一致百慮	moe
一舉	moe
一舉一動	moe
一舉兩便	moe
一舉兩得	moe
一舉兩用	moe
一舉千里	moe
一舉成名	moe
一舉成擒	moe
一舉揚名	moe
一舉數得	moe
一舉而竟全功	moe
一般	moe
一般廢棄物回收清除處理基金會	moe
一般性	moe
一般法	moe
一般無二	moe
一般而言	moe
一般見識	moe
一色	moe
一色一樣	moe
一芹	moe
一草一木	moe
一落	moe
一落千丈	moe
一落索	moe
一葉	moe
一葉知秋	moe
一葉蔽目，不見泰山	moe
一葉蘭	moe
一葉障目，不見泰山	moe
一著	moe
一著不慎，滿盤皆輸	moe
一著錯，滿盤俱是空	moe
一葦	moe
一葦渡江	moe
一蒂兒到底	moe
一薰一蕕	moe
一藝	moe
一虎難敵眾犬	moe
一處	moe
一號	moe
一蛇二首	moe
一蟹不如一蟹	moe
一行	moe
一行三昧	moe
一行人	moe
一行作吏	moe
一街兩巷	moe
一衝一撞	moe
一衣帶水	moe
一表	moe
一表人才	moe
一表人物	moe
一表非俗	moe
一表非凡	moe
一裹圓	moe
一見傾心	moe
一見如故	moe
一見如舊	moe
一見鍾情	moe
一視同仁	moe
一親芳澤	moe
一覽	moe
一覽無遺	moe
一覽無餘	moe
一覽表	moe
一角	moe
一觴一詠	moe
一觸即潰	moe
一觸即發	moe
一言	moe
一言一動	moe
一言一行	moe
一言不合	moe
一言不發	moe
一言中的	moe
一言九鼎	moe
一言以蔽之	moe
一言兩語	moe
一言千金	moe
一言半句	moe
一言半字	moe
一言半語	moe
一言半辭	moe
一言喪邦	moe
一言堂	moe
一言定交	moe
一言已定，千金不移	moe
一言抄百總	moe
一言既出	moe
一言既出，駟馬難追	moe
一言為定	moe
一言而定	moe
一言興邦	moe
一言蔽之	moe
一言訂交	moe
一言難盡	moe
一言難罄	moe
一詠一觴	moe
一試	moe
一語不發	moe
一語中人	moe
一語中的	moe
一語成讖	moe
一語撞倒牆	moe
一語破的	moe
一語道破	moe
一誤再誤	moe
一說	moe
一諾千金	moe
一謎	moe
一謙四益	moe
一讀會	moe
一貌堂堂	moe
一貧如洗	moe
一貫	moe
一貫作業	moe
一貫原理	moe
一貫道	moe
一貴一賤，交情乃見	moe
一賣	moe
一走了之	moe
一起	moe
一趟	moe
一跤	moe
一路	moe
一路人	moe
一路哭	moe
一路平安	moe
一路福星	moe
一路貨	moe
一路順風	moe
一路領先	moe
一跳八丈	moe
一踅頭	moe
一蹴	moe
一蹴可幾	moe
一蹴而就	moe
一蹴而得	moe
一蹶不振	moe
一躍而起	moe
一身	moe
一身一口	moe
一身二任	moe
一身作事一身當	moe
一身做不得兩件事	moe
一身兩役	moe
一身是膽	moe
一軌	moe
一軌同風	moe
一較長短	moe
一較高下	moe
一輩	moe
一輩兒	moe
一輩子	moe
一輪	moe
一轂轆	moe
一轉眼	moe
一轉語	moe
一轍	moe
一迭連聲	moe
一迷	moe
一退六二五	moe
一逕	moe
一連	moe
一連串	moe
一連氣	moe
一週遭	moe
一遍生活兩遍做	moe
一過眼兒	moe
一道	moe
一道湯	moe
一道煙	moe
一道風	moe
一遞	moe
一遞裡	moe
一遭	moe
一還一報	moe
一邊	moe
一部	moe
一部二十四史，不知從何說起	moe
一部分	moe
一酬一酢	moe
一醉解千愁	moe
一釐一毫	moe
一針見血	moe
一銃子性兒	moe
一錘子買賣	moe
一錢不值	moe
一錢不名	moe
一錢不落虛空地	moe
一錢太守	moe
一錢如命	moe
一錯再錯	moe
一鍋煮	moe
一鍋粥	moe
一鍋麵	moe
一鍬掘個井	moe
一長一短	moe
一長二短	moe
一長兩短	moe
一門	moe
一門忠烈	moe
一閃	moe
一閃神	moe
一間	moe
一闡提	moe
一陌	moe
一院制	moe
一陣	moe
一陣子	moe
一陣青一陣白	moe
一陣風	moe
一陽生	moe
一隅	moe
一隅三反	moe
一隅之地	moe
一隅之見	moe
一階半級	moe
一階半職	moe
一隻碗不響，兩隻碗叮噹	moe
一雙	moe
一雙兩好	moe
一雞三吃	moe
一雨成秋	moe
一零兒	moe
一霎	moe
一霎時	moe
一面	moe
一面之交	moe
一面之緣	moe
一面之詞	moe
一面之識	moe
一面之雅	moe
一面倒	moe
一面兒官司	moe
一面如舊	moe
一鞍一馬	moe
一鞭一條痕	moe
一鞭一條痕，一摑一掌血	moe
一音教	moe
一頂	moe
一順	moe
一順兒	moe
一頓	moe
一領	moe
一頭	moe
一頭人情，兩面光	moe
一頭兒沉	moe
一頭撞倒南牆	moe
一頭撞死	moe
一頭放火，一頭放水	moe
一頭水	moe
一頭熱	moe
一頭蹉	moe
一頭霧水	moe
一顧傾人	moe
一顧傾城	moe
一顰一笑	moe
一風吹	moe
一飛沖天	moe
一飛衝天	moe
一食萬錢	moe
一飯三遺矢	moe
一飯之恩	moe
一飯千金	moe
一飲一啄	moe
一飲一啄，莫非前定	moe
一飲而盡	moe
一飽眼福	moe
一餉	moe
一饋十起	moe
一馬一鞍	moe
一馬不被兩鞍	moe
一馬平川	moe
一馬當先	moe
一骨碌	moe
一體	moe
一體兩面	moe
一髮	moe
一髮千鈞	moe
一鬨	moe
一鬨而散	moe
一魚兩吃	moe
一鱗一爪	moe
一鱗半爪	moe
一鱗半甲	moe
一鱗片甲	moe
一鳴驚人	moe
一鶚	moe
一麾出守	moe
一黑早	moe
一點	moe
一點一滴	moe
一點兒	moe
一點水一個泡	moe
一點靈犀	moe
一點點	moe
一鼓一板	moe
一鼓作氣	moe
一鼓而下	moe
一鼻子灰	moe
一鼻孔出氣	moe
一齊	moe
一齊天下	moe
一龍一蛇	moe
一龍一豬	moe
一龍生九種，種種各別	moe
丁	moe
丁一卯二	moe
丁一確二	moe
丁丁	moe
丁丁當當	moe
丁丁糖	moe
丁令威化鶴	moe
丁倒	moe
丁內艱	moe
丁八	moe
丁公被戮	moe
丁匠	moe
丁口	moe
丁口冊	moe
丁單	moe
丁嘴鐵舌	moe
丁固生松	moe
丁壩	moe
丁壯	moe
丁外艱	moe
丁夜	moe
丁女	moe
丁娘十索	moe
丁字兒	moe
丁字尺	moe
丁字帶	moe
丁字腳	moe
丁字褲	moe
丁字路	moe
丁字鋪	moe
丁寧	moe
丁對丁，鐵對鐵	moe
丁差	moe
丁年	moe
丁彊	moe
丁役	moe
丁憂	moe
丁是丁，卯是卯	moe
丁村遺址	moe
丁東	moe
丁母憂	moe
丁泠	moe
丁父憂	moe
丁產	moe
丁甲山	moe
丁男	moe
丁當	moe
丁祭	moe
丁祭肉	moe
丁稅	moe
丁等特考	moe
丁老	moe
丁肇中	moe
丁艱	moe
丁董	moe
丁賦	moe
丁鈴噹啷	moe
丁銀	moe
丁零	moe
丁靈	moe
丁香	moe
丁香結	moe
丁點兒	moe
丂	moe
七	moe
七七	moe
七七事變	moe
七上八下	moe
七上八落	moe
七了八當	moe
七事兒	moe
七仙女	moe
七代先靈	moe
七件事	moe
七佛	moe
七俠五義	moe
七個八個	moe
七元	moe
七八	moe
七八下裡	moe
七八成	moe
七出	moe
七十二地煞	moe
七十二行	moe
七十二變	moe
七十子	moe
七古	moe
七哀	moe
七單	moe
七嘴八張	moe
七嘴八舌	moe
七國	moe
七國之亂	moe
七國高峰會	moe
七夕	moe
七大八小	moe
七大死罪	moe
七大洲	moe
七始	moe
七娘媽	moe
七孔	moe
七孔流血	moe
七孔生煙	moe
七字法	moe
七寶	moe
七尺	moe
七尺軀	moe
七巧板	moe
七年之病，求三年之艾	moe
七年之癢	moe
七廟	moe
七弦琴	moe
七張八嘴	moe
七彩繽紛	moe
七律	moe
七情	moe
七情六慾	moe
七情六欲	moe
七手八腳	moe
七扭八歪	moe
七折八扣	moe
七拉八扯	moe
七拖八欠	moe
七拼八湊	moe
七損八傷	moe
七搭八搭	moe
七擒七縱	moe
七斷八續	moe
七方	moe
七星	moe
七星壇	moe
七星山	moe
七星板	moe
七星燈	moe
七星瓢蟲	moe
七曜	moe
七月	moe
七月革命	moe
七林林	moe
七橫八縱	moe
七橫八豎	moe
七步之才	moe
七步奇才	moe
七步成詩	moe
七歪八倒	moe
七歪八扭	moe
七死八活	moe
七滅諍法	moe
七煞	moe
七爺八爺	moe
七留七林	moe
七略	moe
七病八痛	moe
七發	moe
七碗茶	moe
七窩八代	moe
七竅	moe
七竅生煙	moe
七絕	moe
七絲	moe
七緯	moe
七老八十	moe
七老八老	moe
七聲	moe
七色	moe
七色板	moe
七葷八素	moe
七號公園	moe
七觀	moe
七言	moe
七言八語	moe
七言詩	moe
七貧八富	moe
七跌八撞	moe
七返九還	moe
七通八達	moe
七里香	moe
七長八短	moe
七除八扣	moe
七雄	moe
七零八散	moe
七零八落	moe
七青八黃	moe
七音	moe
七項運動	moe
七顛八倒	moe
七香	moe
七香車	moe
七體	moe
七高八低	moe
七魄	moe
七魄三魂	moe
万	moe
万俟	moe
丈	moe
丈丈	moe
丈二金剛	moe
丈人	moe
丈人峰	moe
丈人行	moe
丈八燈臺	moe
丈八蛇矛	moe
丈六金身	moe
丈夫	moe
丈夫一言，快馬一鞭	moe
丈夫女	moe
丈夫子	moe
丈夫有淚不輕彈	moe
丈室	moe
丈母	moe
丈母娘	moe
丈母娘看女婿，越看越有趣	moe
丈量	moe
三	moe
三○一條款	moe
三一三十一	moe
三一律	moe
三七	moe
三七二十一	moe
三七五減租	moe
三七仔	moe
三七兒	moe
三三五五	moe
三三兩兩	moe
三上	moe
三上五落	moe
三下五除二	moe
三不五時	moe
三不去	moe
三不易	moe
三不朽	moe
三不歸	moe
三不留	moe
三不知	moe
三不管	moe
三世	moe
三世佛	moe
三世因果	moe
三乘	moe
三乘比	moe
三九天	moe
三事	moe
三二	moe
三五	moe
三五好友	moe
三五成群	moe
三人同心，其利斷金	moe
三人成虎	moe
三人抬不過個理字	moe
三人行必有我師	moe
三代	moe
三代吉金文存	moe
